budget,primary_genre,original_title,overview,production_company,release_date,revenue,runtime,tagline,title
115000000,Adventure,Star Wars: Episode I - The Phantom Menace,"Anakin Skywalker, a young slave strong with the Force, is discovered on Tatooine. Meanwhile, the evil Sith have returned, enacting their plot for revenge against the Jedi.",Lucasfilm,36299,924317558,136,Every generation has a legend. Every journey has a first step. Every saga has a beginning.,Star Wars: Episode I - The Phantom Menace
55000000,Action,Superman,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane âˆ’ who's in love with Superman. Clark must summon his superhero alter ego when the nefarious Lex Luthor launches a plan to take over the world.",Warner Bros.,28837,300218018,143,You'll Believe a Man Can Fly!,Superman
355000,Horror,Dracula,The legend of vampire Count Dracula begins here with this original 1931 Dracula film from Bela Lugosi.,Universal Pictures,11366,1012189,72,The story of the strangest passion the world has ever known!,Dracula
291000,Drama,Frankenstein,Henry Frankenstein is a doctor who is trying to discover a way to make the dead walk. He succeeds and creates a monster that has to deal with living again.,Universal Pictures,11648,12000000,71,The man who made a monster.,Frankenstein
2000000,Horror,The War of the Worlds,"The residents of a small town are excited when a flaming meteor lands in the hills, but their joy is short-lived when they discover it has passengers who are not very friendly.",Paramount Pictures,19584,2000000,85,Amazing! terrifying! The most savage spectacle of all time!,The War of the Worlds
34200000,Comedy,Big Daddy,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",Columbia Pictures,36336,234801895,93,Nature called. Look who answered.,Big Daddy
60000,Horror,The Blair Witch Project,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",Artisan Entertainment,36355,248000000,81,The scariest movie of all time is a true story.,The Blair Witch Project
37000000,Comedy,Ghostbusters II,"Five years after they defeated Gozer, the Ghostbusters are out of business. When Dana begins to have ghost problems again, the boys come out of retirement to aid her and hopefully save New York City from a new paranormal threat.",Columbia Pictures Corporation,32674,215394738,108,We're back!,Ghostbusters II
13000000,Comedy,Dick,"Comedy about two high school girls who wander off during a class trip to the White House and meet President Richard Nixon. They become the official dog walkers for Nixon's dog Checkers, and become his secret advisors during the Watergate scandal.",Columbia Pictures,36376,27500000,94,The unmaking of the president,Dick
70000000,Adventure,The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",Warner Bros. Animation,36378,23159305,86,It came from outer space!,The Iron Giant
48000000,Drama,The Thomas Crown Affair,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective.",Irish Dreamtime,36378,124305181,113,How do you get the man who has everything?,The Thomas Crown Affair
6400000,Thriller,Never Talk to Strangers,"Sarah Taylor, a police psychologist, meets a mysterious and seductive young man, Tony Ramirez, and falls in love with him. As a cause of this relationship, she changes her personality when she begins to receive anonymous telephone calls.",TriStar Pictures,34992,6,86,"In A World Where Love Isn't Always Safe, Trust Can Be Deadly.",Never Talk to Strangers
350000,Comedy,The Raven,A magician who has been turned into a raven turns to a former sorcerer for help in this film loosely based on the Edgar Allen Poe poem.,Alta Vista Productions,23036,1499275,86,The Macabre Masterpiece of Terror!,The Raven
22000000,Horror,An American Werewolf in Paris,An American man unwittingly gets involved with werewolves who have developed a serum allowing them to transform at will.,Hollywood Pictures,35789,26570463,105,Things are about to get a little hairy.,An American Werewolf in Paris
15000000,Comedy,National Lampoon's Vacation,"Clark Griswold is on a quest to take his family on a quest to Walley World theme park for a vacation, but things don't go exactly as planned.",Warner Bros.,30525,61399552,98,Every summer Chevy Chase takes his family on a little trip. This year he went too far.,National Lampoon's Vacation
45000000,Drama,The Pelican Brief,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,Warner Bros.,34319,195268056,141,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,The Pelican Brief
160000000,Adventure,The 13th Warrior,"In AD 922, Arab courtier, Ahmad Ibn Fadlan accompanies a party of Vikings to the barbaric North to combat a terror that slaughters Vikings and devours their flesh.",Touchstone Pictures,36399,61698899,102,Prey for the living.,The 13th Warrior
12000000,Horror,Stir of Echoes,"After being hypnotized by his sister in law, Tom Witzky begins seeing haunting visions of a girl's ghost and a mystery begins to unfold around her.",Artisan Entertainment,36413,21133087,99,In every mind there is a door that should never be opened.,Stir of Echoes
15000000,Drama,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",DreamWorks SKG,36418,356296601,122,Look closer.,American Beauty
1200000,Drama,The Buddy Holly Story,A film about the life and career of the early rock and roll star.,Columbia Pictures,28628,14363400,113,"His Story Will Have You Singing, Laughing, Crying, Cheering And Stomping Your Feet.",The Buddy Holly Story
2000000,Drama,Deliverance,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",Warner Bros.,26510,46122355,109,What did happen on the Cahulawassee River?,Deliverance
28000000,Animation,Thumbelina,The tiny girl meets a fairy prince who saves her from the creatures of the woods.,Warner Bros.,34423,11373501,87,Follow your heart and nothing is impossible.,Thumbelina
5000000,Drama,Tommy,"A psychosomatically deaf, dumb and blind boy becomes a master pinball player and the object of a religious cult.",Columbia Pictures,27472,34251525,111,Your senses will never be the same.,Tommy
70000000,Crime,Double Jeopardy,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.",Paramount Pictures,36427,177841558,105,Murder isn't always a crime.,Double Jeopardy
2600000,Drama,Guinevere,A young girl from an affluent family rebels and becomes involved with a much older photographer.,Miramax Films,36407,614202,104,He was her first love... she was his last.,Guinevere
75000000,Action,Three Kings,"A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.",Village Roadshow Pictures,36430,108000000,114,It's good to be King.,Three Kings
1700000,Comedy,"Happy, Texas","Two escaped convicts roll into the village of Happy, Texas, where they're mistaken for a gay couple who work as beauty pageant consultants. They go along with it to duck the police, but the local sheriff has a secret of his own.",Miramax Films,36497,1943649,98,Escaped convicts disguised as beauty pageant experts? This could get ugly,"Happy, Texas"
7000000,Thriller,Monkey Shines,"A quadriplegic man is given a trained monkey help him with every day activities, until the little monkey begins to develop feelings, and rage, against its new master and those who get too close to him.",Orion Pictures,32353,5344577,113,"Once there was a man whose prison was a chair. The man had a monkey, they made the strangest pair. The monkey ruled the man, it climbed inside his head. And now as fate would have it, one of them is dead.",Monkey Shines
300000,Horror,Phantasm,"A young boy and his friends face off against a mysterious grave robber known only as the Tall Man, who keeps a mysterious arsenal of terrible weapons with him.",AVCO Embassy Pictures,28942,11988469,89,"If this one doesnâ€™t scare you, youâ€™re already dead.",Phantasm
